# Bakery scene placements
# Format: name angle rx ry rz tx ty tz sx sy sz
# Lines starting with # are ignored. Edit by hand or via
# the in-app editor (Page Up/Down to switch object, numpad
# 4/6/2/8/1/3 to translate, 7/9 to scale, Home to save).
ambiente 0 0 0 0 0 -0.2 0 5.05447 5.05447 5.05447
mesa 90 0 90 0 1.41664 0.438048 1.20176 2.9601 1.48005 2.22007
bolo 0 0 0 0 2.493 2.0514 1.0661 0.0179086 0.0179086 0.0179086
pao 0 0 1 0 0 2.2 1.5 0.2 0.2 0.2
batedeira 0 0 1 0 -0.210652 2.0225 0.602499 2.33254 2.33254 2.33254
luminaria 0 0 1 0 5.10832 -2.88252 0.150877 0.0696425 0.0696425 0.0696425
mesa_picnic 0 0 1 0 -17.5478 0.4225 15.4025 0.0150911 0.0150911 0.0150911
poste_luz 0 0 1 0 -6.14777 3.9225 9.37003 1.47042 1.47042 1.47042
flor 0 0 1 0 0.28935 1.2225 14.3025 2.36812 2.36812 2.36812
concreto 0 0 1 0 0.28935 0.37 14.3025 0.566909 0.566909 0.566909
ceu 0 0 0 0 0 0 0 30 30 30
formiga 0 0 1 0 1.5478 0.4225 19.4025 50 50 50 
